,Name,Price,Recorded_On,Search_Word,Link
195,Final-Fantasy-Anthology-PlayStation-Limited,$8.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Anthology-PlayStation-Limited/dp/B07N1K8D2J
196,Final-Fantasy-Chronicles-IV-Chrono-Trigger,$20.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Chronicles-IV-Chrono-Trigger/dp/B000CB8AGI
197,Lightning-Returns-Final-Fantasy-Playstation-Console,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Lightning-Returns-Final-Fantasy-Playstation-Console/dp/B00IU6SBDY
198,Final-Fantasy-Advent-Children-Ultimate-Japan,$43.66,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Advent-Children-Ultimate-Japan/dp/B002C1ADMA
199,Crisis-Core-Final-Fantasy-Sony-PSP,$44.00,2019-01-29,final fantasy playstation,https://www.amazon.com/Crisis-Core-Final-Fantasy-Sony-PSP/dp/B0010YOQIW
200,Mens-Inspired-Final-Fantasy-Shirt,$16.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Mens-Inspired-Final-Fantasy-Shirt/dp/B00BMM41UA
201,Castlevania-Chronicles-Playstation,$199.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Castlevania-Chronicles-Playstation/dp/B00005QZT6
202,Final-Fantasy-Type-0-Japan-Sony-PSP,$45.82,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Type-0-Japan-Sony-PSP/dp/B001DUI3A0
203,Fantasy-International-Zodiac-System-Playstation-2,$36.24,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-International-Zodiac-System-Playstation-2/dp/B000QXV42O
204,Final-Fantasy-IV-Japan-Nintendo-DS,$70.51,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-IV-Japan-Nintendo-DS/dp/B000QHRDZC
205,Final-Fantasy-Tactics-Lion-Japan-Sony,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Tactics-Lion-Japan-Sony/dp/B000QTA9V0
206,Sony-Playstation-PS-One-Video-Console,$379.98,2019-01-29,final fantasy playstation,https://www.amazon.com/Sony-Playstation-PS-One-Video-Console/dp/B00004XOWT
207,Symbol-Blessed-Martyr-Sticker-Trucks,$7.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Symbol-Blessed-Martyr-Sticker-Trucks/dp/B06WW9HCC4
208,Symbol-Blessed-Martyr-Sticker-Trucks,$7.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Symbol-Blessed-Martyr-Sticker-Trucks/dp/B06WW9HCC4
209,Fantasy-Adjustable-Portable-Oblique-Shoulder,$15.33,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-Adjustable-Portable-Oblique-Shoulder/dp/B01MF9U5KP
210,Valkyria-Chronicles-4-PS4-playstation,$42.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Valkyria-Chronicles-4-PS4-playstation/dp/B07BPLP22V
211,Valkyria-Chronicles-4-Xbox-One,$52.50,2019-01-29,final fantasy playstation,https://www.amazon.com/Valkyria-Chronicles-4-Xbox-One/dp/B07BPK5RB7
212,Final-Fantasy-XIII-2-Japan-playstation-3,$10.10,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-XIII-2-Japan-playstation-3/dp/B004K6L0DG
213,Final-Fantasy-Video-Game-Mug,$21.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Video-Game-Mug/dp/B07BC6LQNG
214,Persona-3-Dancing-Moonlight-playstation-4,$50.97,2019-01-29,final fantasy playstation,https://www.amazon.com/Persona-3-Dancing-Moonlight-playstation-4/dp/B07F2HTGJN
215,Fantasy-Japanese-PSP-Anniversary-Limited-Sony,$775.00,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-Japanese-PSP-Anniversary-Limited-Sony/dp/B000TXC2RW
216,Final-Fantasy-XIII-Japan-Playstation-3,$38.00,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-XIII-Japan-Playstation-3/dp/B000FNQXEO
217,Fantasy-Premium-Designer-Playstation-Controller-4,$30.00,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-Premium-Designer-Playstation-Controller-4/dp/B0171REQQI
218,Fantasy-Zidane-Tribal-Action-Figure,$199.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-Zidane-Tribal-Action-Figure/dp/B002BGW00E
219,Final-Fantasy-Remaster-Twin-Japan-4924899011,$78.88,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Remaster-Twin-Japan-4924899011/dp/B00FPH9LZS
220,Wallet-Pockets-Magnetic-Samsung-Leather,$13.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Wallet-Pockets-Magnetic-Samsung-Leather/dp/B07BF3RBT1
221,Final-Fantasy-X-2-Japan-Playstation-2,$34.33,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-X-2-Japan-Playstation-2/dp/B0000794JI
222,TOOLOUD-Training-Collapsible-Neoprene-Insulator,$9.49,2019-01-29,final fantasy playstation,https://www.amazon.com/TOOLOUD-Training-Collapsible-Neoprene-Insulator/dp/B01D0IK2RO
223,Square-Enix-PS4-Final-Fantasy-pc,$26.15,2019-01-29,final fantasy playstation,https://www.amazon.com/Square-Enix-PS4-Final-Fantasy-pc/dp/B00DC3E4BS
224,Trapped-Video-Game-Book-Final-ebook,$6.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Trapped-Video-Game-Book-Final-ebook/dp/B07MFNP7S3
225,Trapped-Video-Game-Book-Final,$9.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Trapped-Video-Game-Book-Final/dp/1449495737
226,Final-Fantasy-Ultimate-Japan-Playstation-2,$51.16,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Ultimate-Japan-Playstation-2/dp/B000A41FNC
227,Final-Fantasy-Spirits-Within-UMD-Sony,$19.48,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Spirits-Within-UMD-Sony/dp/B00OSATDHY
228,TOOLOUD-Console-Gamer-Shirt-White,$22.95,2019-01-29,final fantasy playstation,https://www.amazon.com/TOOLOUD-Console-Gamer-Shirt-White/dp/B01D0K0TMU
229,DISSIDIA-FINAL-FANTASY-PlayStation-Japanese-4,$42.38,2019-01-29,final fantasy playstation,https://www.amazon.com/DISSIDIA-FINAL-FANTASY-PlayStation-Japanese-4/dp/B074TGKQBQ
230,SQUARE-ENIX-CO-LTD-FANTASY,$15.99,2019-01-29,final fantasy playstation,https://www.amazon.com/SQUARE-ENIX-CO-LTD-FANTASY/dp/B00MGLAPOC
231,Final-Fantasy-Deluxe-Japan-PlayStation-4,$40.49,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Deluxe-Japan-PlayStation-4/dp/B01DN9WFGG
232,PlayStation-Portable-Dissidia-Fantasy-Anniversary-production,$318.16,2019-01-29,final fantasy playstation,https://www.amazon.com/PlayStation-Portable-Dissidia-Fantasy-Anniversary-production/dp/B001GS8OJY
233,EBTY-Dreams-Inc-Playstation-Fantasy-Sticker-Protector,$17.00,2019-01-29,final fantasy playstation,https://www.amazon.com/EBTY-Dreams-Inc-Playstation-Fantasy-Sticker-Protector/dp/B078NS3Y11
234,Final-Fantasy-Tactics-Certified-Refurbished-Sony,$7.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Tactics-Certified-Refurbished-Sony/dp/B07GSHC31Z
