,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,File Size,Print Length,Publication Date,Simultaneous Device Usage,Failed SS,Series,Hardcover,Page Numbers Source ISBN
56,Business-Intelligence-Analytics-Data-Science,$42.63,2019-02-02,Data Science,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science/dp/0134633288&selectObb=rent,,,,,,,,,,True,,,
57,Business-Intelligence-Analytics-Data-Science,$98.42,2019-02-02,Data Science,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science/dp/0134633288&selectObb=rent,,,,,,,,,,True,,,
58,Business-Intelligence-Analytics-Data-Science-ebook,$67.99,2019-02-02,Data Science,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science-ebook/dp/B01N5RQVHE&selectObb=rent,,,,,,,,,,True,,,
59,Modern-Science-Chapman-Texts-Statistical,$42.04,2019-02-02,Data Science,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/1498724485&selectObb=rent,,,,,,,,,,True,,,
60,Modern-Science-Chapman-Texts-Statistical,$84.06,2019-02-02,Data Science,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/1498724485&selectObb=rent,,,,,,,,,,True,,,
61,Modern-Science-Chapman-Texts-Statistical-ebook,$79.61,2019-02-02,Data Science,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical-ebook/dp/B06XPNZ4H2,,,,,"Chapman and Hall/CRC; 1 edition (March 16, 2017)",102845 KB,582 pages,"March 16, 2017","Up to 4 simultaneous devices, per publisher limits",,,,
62,Data-Science-Big-Analytics-Discovering,$45.92,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Big-Analytics-Discovering/dp/111887613X,111887613X,978-1118876138,English,,"Wiley; 1 edition (January 27, 2015)",,,,,,,432 pages,
63,Data-Science-Big-Analytics-Discovering-ebook,$37.66,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Big-Analytics-Discovering-ebook/dp/B00RXHVQF6,,,,,,,,,,True,,,
64,Data-Science-Google-Cloud-Platform,$45.25,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Google-Cloud-Platform/dp/1491974567,1491974567,978-1491974568,English,410 pages,"O'Reilly Media; 1 edition (January 12, 2018)",,,,,,,,
65,Data-Science-Google-Cloud-Platform-ebook,$29.99,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Google-Cloud-Platform-ebook/dp/B0787L7RK3,,,,,"O'Reilly Media; 1 edition (December 12, 2017)",22687 KB,412 pages,"December 12, 2017",Unlimited,,,,
